"zipcode","cases","population","rate"
"94022","86","19378","444"
"94024","77","23961","321"
"94040","280","35845","781"
"94041","134","14394","931"
"94043","203","31488","645"
"94085","275","23612","1165"
"94086","347","49630","699"
"94087","222","57219","388"
"94089","175","22313","784"
"94301","109","17191","634"
"94304","31","3902","794"
"94305","22","15730","140"
"94306","125","27549","454"
"95002","36","2146","1678"
"95008","391","46513","841"
"95013","0","77","0"
"95014","135","62430","216"
"95020","1604","63852","2512"
"95030","56","13288","421"
"95032","146","26281","556"
"95035","611","77562","788"
"95037","632","51652","1224"
"95046","127","6025","2108"
"95050","442","39452","1120"
"95051","387","58123","666"
"95053","0","3678","0"
"95054","259","24264","1067"
"95070","120","31308","383"
"95110","513","20203","2539"
"95111","1525","62392","2444"
"95112","979","61060","1603"
"95113","58","1939","2991"
"95116","1534","56481","2716"
"95117","522","29592","1764"
"95118","327","32560","1004"
"95119","68","10472","649"
"95120","203","37774","537"
"95121","505","38102","1325"
"95122","1772","57780","3067"
"95123","830","67186","1235"
"95124","311","51170","608"
"95125","570","53574","1064"
"95126","518","35988","1439"
"95127","1509","65686","2297"
"95128","423","37665","1123"
"95129","151","39828","379"
"95130","86","14863","579"
"95131","261","31170","837"
"95132","343","41844","820"
"95133","399","28726","1389"
"95134","170","27224","624"
"95135","85","22358","380"
"95136","641","47599","1347"
"95138","180","20766","867"
"95139","60","7293","823"
"95140","0","115","0"
"95148","585","48854","1197"
