"zipcode","cases","population","rate"
"94022","89","19378","459"
"94024","79","23961","330"
"94040","296","35845","826"
"94041","136","14394","945"
"94043","204","31488","648"
"94085","279","23612","1182"
"94086","356","49630","717"
"94087","226","57219","395"
"94089","180","22313","807"
"94301","114","17191","663"
"94304","31","3902","794"
"94305","24","15730","153"
"94306","125","27549","454"
"95002","36","2146","1678"
"95008","416","46513","894"
"95013","0","77","0"
"95014","140","62430","224"
"95020","1645","63852","2576"
"95030","57","13288","429"
"95032","152","26281","578"
"95035","622","77562","802"
"95037","646","51652","1251"
"95046","133","6025","2207"
"95050","467","39452","1184"
"95051","393","58123","676"
"95053","0","3678","0"
"95054","266","24264","1096"
"95070","126","31308","402"
"95110","530","20203","2623"
"95111","1578","62392","2529"
"95112","1008","61060","1651"
"95113","60","1939","3094"
"95116","1580","56481","2797"
"95117","535","29592","1808"
"95118","344","32560","1057"
"95119","70","10472","668"
"95120","208","37774","551"
"95121","518","38102","1360"
"95122","1823","57780","3155"
"95123","845","67186","1258"
"95124","317","51170","620"
"95125","591","53574","1103"
"95126","535","35988","1487"
"95127","1545","65686","2352"
"95128","429","37665","1139"
"95129","157","39828","394"
"95130","91","14863","612"
"95131","266","31170","853"
"95132","355","41844","848"
"95133","406","28726","1413"
"95134","170","27224","624"
"95135","89","22358","398"
"95136","658","47599","1382"
"95138","189","20766","910"
"95139","61","7293","836"
"95140","0","115","0"
"95148","592","48854","1212"
