"zipcode","cases","population","rate"
"94022","89","19378","459"
"94024","78","23961","326"
"94040","295","35845","823"
"94041","136","14394","945"
"94043","204","31488","648"
"94085","275","23612","1165"
"94086","354","49630","713"
"94087","227","57219","397"
"94089","179","22313","802"
"94301","111","17191","646"
"94304","31","3902","794"
"94305","23","15730","146"
"94306","126","27549","457"
"95002","36","2146","1678"
"95008","411","46513","884"
"95013","0","77","0"
"95014","137","62430","219"
"95020","1627","63852","2548"
"95030","56","13288","421"
"95032","148","26281","563"
"95035","616","77562","794"
"95037","641","51652","1241"
"95046","130","6025","2158"
"95050","462","39452","1171"
"95051","391","58123","673"
"95053","0","3678","0"
"95054","264","24264","1088"
"95070","124","31308","396"
"95110","525","20203","2599"
"95111","1560","62392","2500"
"95112","999","61060","1636"
"95113","60","1939","3094"
"95116","1566","56481","2773"
"95117","531","29592","1794"
"95118","338","32560","1038"
"95119","69","10472","659"
"95120","207","37774","548"
"95121","515","38102","1352"
"95122","1809","57780","3131"
"95123","841","67186","1252"
"95124","316","51170","618"
"95125","584","53574","1090"
"95126","529","35988","1470"
"95127","1536","65686","2338"
"95128","428","37665","1136"
"95129","157","39828","394"
"95130","90","14863","606"
"95131","265","31170","850"
"95132","350","41844","836"
"95133","405","28726","1410"
"95134","170","27224","624"
"95135","88","22358","394"
"95136","652","47599","1370"
"95138","187","20766","901"
"95139","61","7293","836"
"95140","0","115","0"
"95148","589","48854","1206"
