"zipcode","cases","population","rate"
"94022","93","19378","480"
"94024","82","23961","342"
"94040","302","35845","843"
"94041","143","14394","993"
"94043","207","31488","657"
"94085","289","23612","1224"
"94086","367","49630","739"
"94087","230","57219","402"
"94089","185","22313","829"
"94301","117","17191","681"
"94304","30","3902","769"
"94305","26","15730","165"
"94306","129","27549","468"
"95002","36","2146","1678"
"95008","431","46513","927"
"95013","0","77","0"
"95014","147","62430","235"
"95020","1694","63852","2653"
"95030","61","13288","459"
"95032","155","26281","590"
"95035","643","77562","829"
"95037","671","51652","1299"
"95046","134","6025","2224"
"95050","481","39452","1219"
"95051","402","58123","692"
"95053","0","3678","0"
"95054","270","24264","1113"
"95070","133","31308","425"
"95110","559","20203","2767"
"95111","1622","62392","2600"
"95112","1047","61060","1715"
"95113","62","1939","3198"
"95116","1623","56481","2874"
"95117","551","29592","1862"
"95118","357","32560","1096"
"95119","73","10472","697"
"95120","215","37774","569"
"95121","531","38102","1394"
"95122","1866","57780","3229"
"95123","873","67186","1299"
"95124","329","51170","643"
"95125","608","53574","1135"
"95126","566","35988","1573"
"95127","1603","65686","2440"
"95128","445","37665","1181"
"95129","164","39828","412"
"95130","98","14863","659"
"95131","272","31170","873"
"95132","368","41844","879"
"95133","415","28726","1445"
"95134","178","27224","654"
"95135","91","22358","407"
"95136","701","47599","1473"
"95138","194","20766","934"
"95139","61","7293","836"
"95140","0","115","0"
"95148","612","48854","1253"
